cleaned_med_id,inv_min,inv_max,mean_first_count,mean_last_count,total_picks,mean_picks,median_picks,variance_picks,std_dev_picks,range_picks,iqr_picks,skewness_picks,kurtosis_picks,percent_days_w_pick,days_of_data,days_w_stockout,days_w_scarce_inv,days_w_excess_inv,mean_inventory,inv_turnover_ratio,days_sales_inventory,stockout_rate,excess_rate,scarce_rate,coef_var
231,0.0,48.0,19.347931873479318,19.347931873479318,270.0,0.3284671532846715,0.0,3.300016892342435,1.8165948619167773,20.0,0.0,7.156949167944659,58.68557622389666,0.04744525547445255,822.0,314.0,0.0,27.0,19.347931873479318,13.954979879275655,58.903703703703705,0.3819951338199513,0.032846715328467155,0.0,5.530522135168856
563,75.0,125.0,87.52189781021897,87.55109489051095,7550.0,9.184914841849148,6.0,109.64420577836653,10.471112919760083,70.0,14.0,1.7683663662355942,4.192226614272014,0.7165450121654501,822.0,0.0,230.0,19.0,87.53649635036496,86.24973942047113,9.53046357615894,0.0,0.023114355231143552,0.2798053527980535,1.1400337509990448
2475,900.0,1200.0,933.7935222672065,937.6518218623481,19408.0,78.5748987854251,74.0,4398.814489318983,66.32355908211639,1041.0,30.0,13.029122966109366,189.56787059620342,1.0,247.0,0.0,99.0,4.0,935.7226720647773,20.741188152654317,11.908671681780708,0.0,0.016194331983805668,0.4008097165991903,0.8440807447074787
2543,0.0,0.0,6.382978723404255,6.24113475177305,1.0,0.0014184397163120568,0.0,0.0014184397163120573,0.03766217885773548,1.0,0.0,26.495309404770953,700.0014204545445,0.0014184397163120568,705.0,661.0,0.0,44.0,6.3120567375886525,0.15842696629213482,4450.0,0.9375886524822695,0.062411347517730496,0.0,26.55183609470351
2545,6.0,11.0,3.480697384806974,3.493150684931507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,803.0,522.0,523.0,0.0,3.4869240348692405,0.0,,0.6500622665006227,0.0,0.651307596513076,
4669,18.0,48.0,138.60220318237455,138.36719706242351,198.0,0.2423500611995104,0.0,2.6372729018167855,1.623968257638303,27.0,0.0,9.321751902021047,112.19183855142374,0.033047735618115054,817.0,0.0,2.0,190.0,138.48470012239903,1.4297608315214507,571.4242424242425,0.0,0.23255813953488372,0.0024479804161566705,6.7009195277297655
4688,100.0,150.0,143.53341433778857,143.91130012150668,7146.0,8.682867557715674,7.0,45.72047254569804,6.76169154470226,46.0,8.0,1.2794553464468559,2.3949116130979107,0.9161603888213852,823.0,0.0,181.0,218.0,143.72235722964763,49.72086554760385,16.552406940945982,0.0,0.2648845686512758,0.21992709599027946,0.7787394544206493
4763,0.0,5.0,1.6014580801944107,1.5990279465370596,24.0,0.02916160388821385,0.0,0.030778736626134878,0.17543869763006928,2.0,0.0,6.2593995541979,41.52723490530916,0.027946537059538274,823.0,316.0,0.0,6.0,1.600243013365735,14.997722095671982,54.875,0.3839611178614824,0.007290400972053463,0.0,6.01608533956446
5108,20.0,120.0,153.04010349288487,153.04010349288487,12.0,0.015523932729624839,0.0,0.09302294405083486,0.30499662957290996,6.0,0.0,19.58322225870202,381.50259403372223,0.00258732212160414,773.0,11.0,11.0,421.0,153.04010349288487,0.07841081994928148,9858.333333333334,0.014230271668822769,0.5446313065976714,0.014230271668822769,19.64686622165495
8223,160.0,260.0,213.51304347826087,214.34347826086957,3850.0,16.73913043478261,15.0,161.29409531042342,12.700161231670384,56.0,20.0,0.7478577800668667,0.2531328735559386,0.9130434782608695,230.0,0.0,58.0,48.0,213.92826086956524,17.996687227534625,12.780129870129871,0.0,0.20869565217391303,0.25217391304347825,0.7587109307231658
9346,5.0,7.0,5.841095890410959,5.86027397260274,78.0,0.2136986301369863,0.0,0.4871744693662502,0.6979788459303407,6.0,0.0,4.245425613406718,21.608001291765138,0.1178082191780822,365.0,3.0,38.0,7.0,5.85068493150685,13.331772418637321,27.378205128205128,0.00821917808219178,0.019178082191780823,0.10410958904109589,3.2661830610842864
9543,60.0,160.0,210.35279805352798,210.1897810218978,2272.0,2.763990267639903,0.0,102.57760549564206,10.128060302725396,114.0,0.0,6.137666616544768,48.09715751285876,0.1386861313868613,822.0,1.0,12.0,571.0,210.2712895377129,10.805089011414983,76.07526408450704,0.0012165450121654502,0.694647201946472,0.014598540145985401,3.6642894229050507
9631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,386.0,386.0,0.0,0.0,0.0,,,1.0,0.0,0.0,
11688,4.0,15.0,22.90909090909091,22.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,22.0,0.0,0.0,5.0,22.90909090909091,0.0,,0.0,0.22727272727272727,0.0,
11705,6.0,12.0,10.705513784461154,10.679197994987469,98.0,0.12280701754385964,0.0,0.29355697902221056,0.5418089875797656,5.0,0.0,5.291275591160402,31.86159837618556,0.06140350877192982,798.0,0.0,16.0,193.0,10.692355889724311,9.165426311163198,87.06632653061226,0.0,0.24185463659147868,0.020050125313283207,4.411873184578091
16392,400.0,550.0,412.41752577319585,413.50773195876286,20379.0,52.52319587628866,50.0,516.7307267108873,22.73171191773482,157.0,27.25,0.9441358363283949,2.069695239409975,1.0,388.0,0.0,175.0,33.0,412.96262886597935,49.34829104503228,7.862480985328033,0.0,0.08505154639175258,0.45103092783505155,0.43279376927627017
16414,9.0,9.0,8.693181818181818,8.693181818181818,9.0,0.10227272727272728,0.0,0.9204545454545454,0.9594032236002469,9.0,0.0,9.220167799605036,83.01149425287358,0.011363636363636364,88.0,3.0,3.0,0.0,8.693181818181818,1.0352941176470587,85.0,0.03409090909090909,0.0,0.03409090909090909,9.380831519646858
23796,6.0,12.0,8.681265206812652,8.697080291970803,398.0,0.48418491484184917,0.0,3.3584584700279465,1.83260974296983,20.0,0.0,4.878756441183326,30.41356306725573,0.0827250608272506,822.0,558.0,560.0,211.0,8.689172749391727,45.80413020651033,17.945979899497484,0.6788321167883211,0.25669099756691,0.681265206812652,3.7849377103547743
